N,Wide_Area,Narrow_Area,Wide_Error,Narrow_Error
68100,0.93738,0.943539,0.755696,0.103574
68600,0.947837,0.943495,0.351524,0.108234
69100,0.948295,0.948119,0.399991,0.381304
69600,0.930168,0.944217,1.51919,0.0317868
70100,0.943644,0.942511,0.0924952,0.212435
70600,0.938062,0.942351,0.683418,0.229314
71100,0.932012,0.942792,1.32394,0.182669
71600,0.927133,0.944658,1.8405,0.0148897
72100,0.948212,0.946064,0.391149,0.16382
72600,0.974758,0.943492,3.20172,0.108569
73100,0.947742,0.942869,0.341425,0.174463
73600,0.927434,0.944361,1.80871,0.0164923
74100,0.952402,0.947233,0.834794,0.287584
74600,0.936114,0.950989,0.889683,0.685156
75100,0.94205,0.944224,0.261171,0.0310019
75600,0.929133,0.947751,1.62882,0.342412
76100,0.954328,0.942904,1.0387,0.170787
76600,0.960156,0.944794,1.65576,0.0293484
77100,0.932115,0.946855,1.31312,0.247486
77600,0.946906,0.947503,0.252911,0.316144
78100,0.943956,0.940861,0.0594241,0.387088
78600,0.930777,0.943448,1.45473,0.113216
79100,0.956973,0.942557,1.31873,0.207545
79600,0.94913,0.943671,0.488339,0.0895382
80100,0.949274,0.944054,0.503595,0.0490069
80600,0.947848,0.946945,0.352641,0.257021
81100,0.950755,0.946255,0.660462,0.18395
81600,0.946717,0.945343,0.232884,0.0874469
82100,0.938346,0.9412,0.653371,0.35123
82600,0.945731,0.94313,0.128488,0.146916
83100,0.953378,0.942268,0.938099,0.238094
83600,0.953141,0.945634,0.913088,0.118239
84100,0.939151,0.944605,0.568099,0.00925885
84600,0.940036,0.946779,0.474409,0.239463
85100,0.935656,0.94314,0.938211,0.145764
85600,0.941094,0.943458,0.362462,0.112146
86100,0.949969,0.943554,0.577205,0.101976
86600,0.95021,0.945136,0.602689,0.0654827
87100,0.960717,0.941188,1.71511,0.352444
87600,0.930262,0.945648,1.50927,0.119706
88100,0.928955,0.945687,1.64763,0.123823
88600,0.943574,0.94581,0.0998702,0.136857
89100,0.953773,0.942999,0.979971,0.16069
89600,0.940747,0.945884,0.39918,0.144762
90100,0.936282,0.943466,0.871934,0.111336
90600,0.949893,0.94335,0.569209,0.123587
91100,0.919388,0.944086,2.66059,0.0456336
91600,0.956505,0.942986,1.26924,0.162133
92100,0.947618,0.942264,0.328292,0.238571
92600,0.945336,0.944155,0.0866896,0.0383496
93100,0.935455,0.942414,0.959414,0.222666
93600,0.926511,0.945179,1.90636,0.0700641
94100,0.938739,0.945988,0.611775,0.155754
94600,0.938094,0.94408,0.680089,0.0462509
95100,0.929686,0.944295,1.57028,0.0234731
95600,0.94079,0.946365,0.394662,0.195642
96100,0.953093,0.944303,0.907964,0.0226969
96600,0.943631,0.940942,0.0938329,0.378517
97100,0.951488,0.942739,0.738,0.188217
97600,0.946613,0.944403,0.221924,0.0120707
98100,0.944464,0.945171,0.00559081,0.069195
98600,0.962058,0.942558,1.85708,0.207394
99100,0.936406,0.945346,0.858815,0.0877088
99600,0.925555,0.944629,2.00759,0.0117868
